No,b,h,t,L,fy,fc,N,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
512,150,150,2.1,800,245.17,22.56,793.36,,,,,
513,150,200,0.7,480,245.17,22.56,795.32,,,,,
514,150,200,0.7,800,245.17,22.56,705.1,,,,,
515,150,200,1.4,800,245.17,22.56,881.62,,,,,
516,150,200,2.1,800,245.17,22.56,844.35,,,,,
517,150,150,0.7,480,245.17,33.73,747.27,,,,,
518,150,150,1.4,800,245.17,35.3,973.8,,,,,
519,150,200,1.4,480,245.17,33.73,1172.88,,,,,
520,150,200,2.1,800,245.17,35.3,1268,,,,,
521,80,120,5,200,357.5,35.7,850,,,,,
522,80,120,5,200,341,38.8,900,,,,,
523,80,120,5,200,341,40.5,920,,,,,
524,80,120,5,200,362.6,39.1,950,,,,,
525,80,120,5,200,362.6,36,955,,,,,
526,100,150,5,100,346.7,38.5,1370,,,,,
527,100,150,5,200,346.7,38.5,1210,,,,,
528,100,150,5,100,346.7,38.3,1340,,,,,
529,100,150,5,200,346.7,38.3,1200,,,,,
530,100,150,5,100,340,38.7,1300,,,,,
531,100,150,5,200,340,38.7,1190,,,,,
532,100,150,5,100,340,39.6,1320,,,,,
533,100,150,5,200,340,39.6,1200,,,,,
534,100,150,5,2940,346.7,38.5,1003,,,,,
535,150,150,4.5,600,438.36,31.87,1597.5,,,,,
536,150,150,4.5,1200,438.36,31.87,1585.74,,,,,
537,150,150,4.5,1800,438.36,31.87,1572.99,,,,,
538,150,150,4.5,2700,438.36,31.87,1356.26,,,,,
539,130,130,2.65,780,340.1,22,760,,,,,
540,130,130,2.65,780,340.1,22,770,,,,,
541,130,130,2.65,780,340.1,22,690,,,,,
542,130,130,2.65,780,340.1,22,739,,,,,
543,130,195,2.65,780,340.1,22,980,,,,,
544,130,195,2.65,780,340.1,22,960,,,,,
545,130,195,2.65,780,340.1,22,880,,,,,
546,130,195,2.65,780,340.1,22,900,,,,,
547,130,195,2.65,2340,340.1,22,890,,,,,
548,130,195,2.65,2340,340.1,22,815,,,,,
549,130,195,2.65,2340,340.1,22,645,,,,,
550,130,195,2.65,2340,340.1,22,625,,,,,
551,90,135,2.65,540,340.1,22,580,,,,,
552,90,135,2.65,540,340.1,22,592,,,,,
553,90,135,2.65,540,340.1,22,570,,,,,
554,90,135,2.65,540,340.1,22,552,,,,,
555,120,240,2.65,720,340.1,22,1140,,,,,
556,120,240,2.65,720,340.1,22,1032,,,,,
557,120,240,2.65,720,340.1,22,968,,,,,
558,60,100,2.93,600,293.5,34.3,490,,,,,
559,80,100,2.93,600,293.5,34.3,680,,,,,
560,60,120,2.93,600,293.5,34.3,570,,,,,
561,90,120,2.93,600,293.5,34.3,825,,,,,
562,120,120,2.65,360,340,20.1,640,,,,,
563,120,120,2.65,360,340,20.1,664,,,,,
564,120,120,2.65,360,340,36,816,,,,,
565,120,120,2.65,360,340,36,812,,,,,
566,120,120,2.65,1400,340,36,769,,,,,
567,120,120,2.65,1400,340,36,730,,,,,
568,100,200,5,2000,360,33.4,1242,,,,,
569,100,200,5,2000,360,33.4,1242,,,,,
570,100,200,5,2000,360,10,1062,,,,,
571,100,200,5,2000,360,10,1022,,,,,
572,140,140,4,2100,366,33.4,1011,,,,,
573,140,140,4,2100,366,10,716,,,,,
574,140,140,5,2100,362,33.4,1248,,,,,
575,140,140,5,2100,362,10,1005,,,,,
576,90,150,3,2250,320,33.4,691,,,,,
577,90,150,3,2250,320,33.4,638,,,,,
578,90,150,3,2250,320,10,503,,,,,
579,90,150,3,2250,320,10,491,,,,,
580,90,150,3,2250,320,10,515,,,,,
581,90,150,3,2250,320,10,492,,,,,
582,90,150,3,2250,320,33.4,738,,,,,
583,90,150,3,2250,320,33.4,625,,,,,
